DATE,CO,ID,MT,NV,OR,UT,WA,WY,T_WA
2019-08-17,71.94444444444444,69.25,64.81818181818181,80.125,67.625,,69.7,64.76923076923077,70.83699319124318
2019-08-18,72.22222222222223,68.0,57.36363636363637,80.125,66.25,,69.5,62.384615384615394,70.11917056935201
2019-08-19,71.3888888888889,72.0,64.45454545454545,78.0,69.25,,67.7,65.0,70.27857696974688
2019-08-20,74.6111111111111,73.75,69.9090909090909,77.25,70.0,,69.6,70.15384615384616,72.17922704269444
2019-08-21,75.5,74.75,68.27272727272727,77.75,72.0,,69.5,70.61538461538461,72.78646751936174
2019-08-22,70.72222222222223,75.5,71.27272727272727,79.375,66.5,,68.2,68.46153846153847,70.61666424094821
2019-08-23,71.5,67.5,68.63636363636364,79.0,65.375,,65.9,68.61538461538461,69.12490981188685
2019-08-24,72.0,66.75,66.18181818181819,77.625,66.875,,65.5,65.30769230769229,68.96091754900269
2019-08-25,68.72222222222223,73.0,70.18181818181819,80.0,69.5,,69.4,65.30769230769229,70.81328602541603
2019-08-26,73.5,68.75,62.54545454545455,81.125,67.375,,66.8,68.84615384615384,70.3366036778467
2019-08-27,68.5,64.5,59.36363636363637,79.25,67.375,,66.0,59.53846153846154,67.97025556169848
2019-08-28,65.72222222222223,65.25,59.27272727272727,80.0,74.71428571428571,,69.1,58.92307692307693,69.70267637936482
2019-08-29,69.44444444444444,70.0,65.36363636363636,82.25,75.71428571428571,,71.0,64.61538461538461,72.41337937355696
2019-08-30,71.94444444444444,72.5,62.36363636363637,82.0,74.375,,69.7,65.0,72.39523515861268
2019-08-31,69.55555555555556,73.5,65.9090909090909,80.5,72.125,,71.7,65.84615384615384,72.12263850547937
2019-09-01,71.94444444444444,73.75,67.27272727272727,79.125,71.375,,72.55555555555556,67.07692307692308,72.7652111882649
2019-09-02,75.0,74.75,68.54545454545455,79.5,71.625,,70.5,69.84615384615384,73.13452979197436
2019-09-03,75.8888888888889,73.5,68.9090909090909,78.375,69.875,,68.8888888888889,71.15384615384616,72.34285861580288
2019-09-04,71.33333333333333,74.0,65.81818181818181,80.25,70.75,,68.1111111111111,68.0,71.22586428104998
2019-09-05,74.0,74.33333333333333,71.36363636363636,81.25,70.875,,67.375,70.84615384615384,72.11893113893525
2019-09-06,75.83333333333333,77.66666666666667,66.81818181818181,79.25,73.75,,69.0,71.61538461538461,73.38174578357024
2019-09-07,72.16666666666667,69.25,63.81818181818182,78.625,70.0,,68.1,66.53846153846153,70.60667669228552
2019-09-08,71.33333333333333,66.0,59.81818181818182,77.25,66.25,,67.5,61.769230769230774,68.85347409540864
2019-09-09,64.64705882352939,60.75,57.63636363636363,70.5,61.75,,65.2,56.30769230769231,64.26275274233342
2019-09-10,66.8888888888889,61.0,55.81818181818182,68.125,60.625,,63.1,56.92307692307693,63.587331031469034
2019-09-11,67.76470588235293,58.75,54.0,67.875,59.5,,61.2,57.153846153846146,62.72571345315702
2019-09-12,65.33333333333333,59.75,54.54545454545455,64.0,60.875,,62.4,49.92307692307693,62.19411347036843
2019-09-13,59.0,59.75,55.27272727272727,66.875,63.75,,63.7,52.92307692307693,62.066443783580226
2019-09-14,61.27777777777778,64.25,60.09090909090909,70.25,65.625,,64.7,56.08333333333334,64.30886912458094
2019-09-15,65.94444444444444,66.5,62.81818181818182,73.0,66.125,,64.1,61.66666666666666,66.09478928291534
2019-09-16,67.3888888888889,69.75,67.36363636363636,72.75,62.375,,59.8,65.33333333333333,64.92395572102615
2019-09-17,69.55555555555556,65.0,67.0909090909091,70.625,55.875,,58.6,65.83333333333333,63.30146774138423
2019-09-18,68.3888888888889,56.5,57.27272727272727,61.875,54.0,,57.4,55.69230769230769,59.888694377463075
2019-09-19,63.944444444444436,56.5,55.36363636363637,63.875,55.75,,57.88888888888889,54.07692307692307,59.41970539181377
2019-09-20,66.66666666666667,56.0,55.81818181818182,59.75,57.375,,58.444444444444436,59.153846153846146,60.10773906127126
2019-09-21,66.5,54.25,53.45454545454545,57.375,56.875,,61.6,54.230769230769226,60.321060298870485
2019-09-22,59.444444444444436,55.75,54.90909090909091,59.125,58.375,,60.3,48.846153846153854,58.7573590953363
2019-09-23,55.055555555555564,60.0,59.18181818181818,63.125,57.0,,59.2,51.69230769230769,58.204771760827136
2019-09-24,61.27777777777778,60.5,60.27272727272727,66.625,58.625,,56.9,56.230769230769226,59.89058394008969
2019-09-25,63.16666666666666,64.25,58.18181818181818,67.0,64.0,,61.9,59.0,63.16141112341663
2019-09-26,62.16666666666666,59.5,53.63636363636363,70.25,60.5,,58.9,55.0,61.12804134285042
2019-09-27,63.83333333333334,60.0,51.90909090909091,69.125,59.75,,60.2,57.46153846153846,61.68146398893346
2019-09-28,62.22222222222222,58.0,46.36363636363637,68.25,55.25,,52.2,50.769230769230774,57.315507699924495
2019-09-29,59.555555555555564,48.0,37.27272727272727,61.625,47.375,,47.1,46.69230769230769,51.60079115869317
2019-09-30,67.5,42.25,33.36363636363637,50.625,43.875,,44.4,46.46153846153846,50.02271986607702
2019-10-01,64.0,44.25,32.09090909090909,50.25,44.75,,45.4,42.0,49.59239311290208
2019-10-02,53.77777777777778,44.75,32.90909090909091,50.125,44.625,,46.7,39.230769230769226,47.53006717283775
2019-10-03,52.055555555555564,46.25,35.54545454545455,52.625,45.25,,46.3,37.692307692307686,47.61222811280868
2019-10-04,52.27777777777778,49.5,40.90909090909091,56.25,51.75,,51.4,42.53846153846154,51.47190220891853
2019-10-05,57.444444444444436,45.5,43.0,56.25,48.875,,51.6,46.53846153846154,52.158530540154885
2019-10-06,50.88888888888889,45.75,44.36363636363637,55.875,48.75,,52.5,41.692307692307686,50.769624133584955
2019-10-07,47.38888888888889,46.5,46.72727272727273,56.625,50.5,,48.7,42.07692307692308,49.30477181061669
2019-10-08,51.555555555555564,50.25,51.09090909090909,60.625,52.875,,54.4,47.230769230769226,53.622573376307706
2019-10-09,56.111111111111114,50.5,44.72727272727273,62.5,49.625,,48.9,50.769230769230774,52.46574475026486
2019-10-10,55.83333333333334,39.0,23.272727272727273,54.75,40.25,,40.8,34.615384615384606,45.018535356840154
2019-10-11,26.83333333333333,33.5,23.272727272727273,43.625,41.75,,39.4,20.0,35.7307723351028
2019-10-12,30.555555555555557,38.75,29.0,46.875,45.375,,42.888888888888886,27.0,39.582789426477504
2019-10-13,42.055555555555564,43.75,35.45454545454545,50.875,46.25,,43.77777777777778,37.615384615384606,44.18672128293072
2019-10-14,46.83333333333334,46.5,40.09090909090909,53.125,51.375,,48.3,43.46153846153846,48.49059189758137
2019-10-15,51.72222222222222,48.0,41.81818181818182,55.125,48.375,,47.3,46.384615384615394,49.33122700392516
2019-10-16,45.66666666666666,50.25,40.90909090909091,57.75,50.625,,47.1,41.384615384615394,48.55696226765258
2019-10-17,52.77777777777778,56.75,54.18181818181818,60.125,52.875,,51.7,51.153846153846146,53.71085385741689
2019-10-18,56.77777777777778,50.25,49.54545454545455,59.0,49.5,,51.9,52.384615384615394,53.337464819000154
2019-10-19,49.055555555555564,46.0,45.09090909090909,50.75,49.875,,49.5,40.92307692307692,48.9582857810764
2019-10-20,44.27777777777778,41.0,41.63636363636363,50.625,46.5,,47.1,38.583333333333336,45.87229813719124
2019-10-21,40.22222222222222,42.0,39.81818181818182,49.25,45.125,,45.9,33.53846153846154,43.98052653030916
2019-10-22,37.888888888888886,45.25,39.72727272727273,54.875,52.0,,47.4,34.615384615384606,46.08132824961694
2019-10-23,41.66666666666666,50.75,44.90909090909091,56.5,53.125,,53.4,40.692307692307686,50.06699327024377
2019-10-24,41.388888888888886,44.25,35.72727272727273,56.25,47.75,,47.5,33.769230769230774,46.10932949096764
2019-10-25,31.88888888888889,40.75,38.18181818181818,51.125,49.375,,49.1,30.538461538461537,43.74655478017578
2019-10-26,39.388888888888886,47.25,52.27272727272727,55.125,51.625,,52.9,41.615384615384606,49.0159415430349
2019-10-27,48.38888888888889,40.75,32.72727272727273,56.0,43.125,,45.4,37.53846153846154,45.975057336961015
2019-10-28,29.555555555555557,31.75,23.09090909090909,41.125,39.25,,40.8,17.90909090909091,35.87848821567482
2019-10-29,21.352941176470583,27.25,19.181818181818183,37.25,37.875,,41.0,15.222222222222221,32.675007751875086
2019-10-30,18.94117647058824,22.25,14.125,35.75,32.625,,31.6,12.25,27.353032096679225
2019-10-31,14.5,23.25,19.0,30.375,34.75,,32.3,12.857142857142858,26.503059784428935
2019-11-01,22.294117647058826,28.75,29.363636363636363,38.875,38.25,,36.8,22.5,32.58370818252687
2019-11-02,28.11111111111111,31.0,29.181818181818183,43.875,41.5,,37.8,25.23076923076923,35.72103868699562
2019-11-03,31.61111111111111,35.0,37.0,47.5,44.125,,40.5,29.76923076923077,39.0846548541493
2019-11-04,38.5,37.25,38.63636363636363,50.25,45.375,,41.2,36.769230769230774,41.92897094988455
2019-11-05,38.555555555555564,41.25,35.18181818181818,51.0,45.375,,41.9,35.384615384615394,42.36932507237122
2019-11-06,40.72222222222222,43.0,33.81818181818182,51.625,43.125,,42.22222222222222,39.615384615384606,42.845746470583315
2019-11-07,41.0,41.0,22.0,52.875,46.125,,44.9,31.153846153846153,43.56721093657171
2019-11-08,36.66666666666666,39.75,25.0,52.375,45.42857142857143,,41.2,30.615384615384613,41.20489860333321
2019-11-09,43.055555555555564,42.0,38.27272727272727,53.5,45.875,,40.3,40.0,43.64927914010019
2019-11-10,49.055555555555564,41.75,39.18181818181818,53.375,45.5,,42.7,45.46153846153846,45.91207563849611
2019-11-11,43.88888888888889,44.5,25.57142857142857,51.5,50.125,,45.1,31.76923076923077,45.277274807261755
2019-11-12,24.5,39.25,16.142857142857142,51.625,47.125,,43.7,17.0,38.53245343575054
2019-11-13,33.611111111111114,37.5,26.54545454545455,51.0,45.5,,42.2,25.84615384615385,40.41486798655742
2019-11-14,40.72222222222222,41.75,34.72727272727273,51.75,45.625,,41.4,36.692307692307686,42.91685934597833
