DATE,DE,NJ,OH,VA,WV,T_WA
2016-11-20,55.0,49.33333333333334,47.230769230769226,55.54545454545455,45.8,50.200292282922454
2016-11-21,42.0,38.66666666666666,32.0,42.0,31.6,36.81887241503078
2016-11-22,40.5,38.66666666666666,31.538461538461537,39.63636363636363,31.4,35.9595510981906
2016-11-23,40.0,38.0,30.76923076923077,40.36363636363637,32.6,35.73861825020031
2016-11-24,39.5,38.333333333333336,34.153846153846146,40.75,39.6,37.55458497194224
2016-11-25,48.0,41.66666666666666,44.384615384615394,50.66666666666666,50.8,45.78070190722058
2016-11-26,47.0,45.66666666666666,39.230769230769226,54.83333333333334,44.0,45.70820215894296
2016-11-27,45.5,43.66666666666666,39.0,45.58333333333334,37.6,42.18337584460944
2016-11-28,42.5,40.333333333333336,39.230769230769226,42.333333333333336,39.8,40.50078268234981
2016-11-29,41.0,39.66666666666666,44.07692307692307,42.91666666666666,45.8,42.54005029656902
2016-11-30,56.5,54.0,54.30769230769231,59.83333333333334,56.8,55.908829721901554
2016-12-01,63.0,54.33333333333334,49.30769230769231,65.41666666666667,52.8,55.63689672559626
2016-12-02,53.5,48.33333333333334,38.153846153846146,54.58333333333334,41.6,46.05307425996034
2016-12-03,43.0,44.0,37.307692307692314,44.75,36.0,41.26611489084854
2016-12-04,45.5,44.66666666666666,35.769230769230774,43.58333333333334,34.2,40.550414101294635
2016-12-05,43.0,41.333333333333336,36.53846153846154,40.66666666666666,36.6,39.18108617555172
2016-12-06,45.5,41.333333333333336,34.230769230769226,48.16666666666666,42.8,40.7682512416695
2016-12-07,42.5,38.66666666666666,35.07692307692308,47.33333333333334,42.0,39.97562967761966
2016-12-08,41.0,40.333333333333336,32.615384615384606,45.25,36.8,38.641207611326934
2016-12-09,38.5,37.333333333333336,26.76923076923077,41.5,29.6,34.175667438631386
2016-12-10,35.0,33.0,25.0,34.166666666666664,23.2,29.888555256658357
2016-12-11,31.5,29.33333333333333,24.69230769230769,31.33333333333333,24.2,27.94442643257788
2016-12-12,31.5,29.66666666666667,29.384615384615387,34.833333333333336,34.8,31.29151003718251
2016-12-13,43.5,38.333333333333336,30.07692307692308,50.66666666666666,40.6,38.893521159739784
2016-12-14,38.0,35.666666666666664,24.538461538461537,45.25,35.2,34.19693963738365
2016-12-15,39.5,36.333333333333336,15.153846153846152,42.833333333333336,29.8,30.035992603609703
2016-12-16,28.5,25.0,11.2,30.75,16.4,21.102163983808097
2016-12-17,21.5,19.666666666666668,13.384615384615385,23.66666666666667,17.8,18.385020271012568
2016-12-18,36.0,31.33333333333333,32.0,41.333333333333336,46.8,35.26806797788202
2016-12-19,51.5,45.0,24.76923076923077,56.16666666666666,45.0,40.7695256910805
2016-12-20,32.0,26.0,17.444444444444443,36.5,25.4,25.823783500609785
2016-12-21,29.5,24.66666666666667,22.153846153846153,34.666666666666664,28.4,26.78069357986777
2016-12-22,35.5,31.33333333333333,29.615384615384613,39.333333333333336,34.75,33.165100328986426
2016-12-23,42.0,39.333333333333336,33.846153846153854,46.66666666666666,38.6,39.32505287038813
2016-12-24,39.5,38.333333333333336,33.07692307692308,39.5,36.0,36.622459019451796
2016-12-25,43.0,42.333333333333336,38.615384615384606,46.08333333333334,44.2,42.099378997390005
2016-12-26,39.5,39.66666666666666,37.230769230769226,44.08333333333334,47.6,40.39708751136974
2016-12-27,40.5,38.0,52.46153846153846,47.08333333333334,55.2,46.77969222208739
2016-12-28,55.5,49.0,40.769230769230774,57.83333333333334,50.0,48.60180407836594
2016-12-29,39.0,34.333333333333336,34.0,44.83333333333334,36.6,37.29301216526233
2016-12-30,38.5,35.0,36.230769230769226,45.83333333333334,36.6,38.54944028358373
2016-12-31,37.5,35.0,29.923076923076927,37.333333333333336,29.0,33.5019501775041
2018-01-01,16.5,13.333333333333336,11.0,22.363636363636363,12.666666666666664,14.955177272525713
2018-01-03,18.5,18.0,10.0,18.727272727272727,12.0,14.9387253482545
2018-01-04,20.5,17.75,11.142857142857142,20.818181818181817,14.5,16.049810743579993
2018-01-05,23.0,21.5,11.857142857142858,23.3,14.833333333333336,18.116561501646608
2018-01-08,11.0,11.0,14.538461538461537,14.125,14.166666666666664,13.312637886283236
2018-01-09,23.0,22.75,33.0,28.2,32.666666666666664,28.533862154427567
2018-01-10,35.5,32.75,31.461538461538463,41.63636363636363,37.5,35.00833625557719
2018-01-11,35.0,29.5,40.692307692307686,37.72727272727273,43.66666666666666,36.77256718895151
2018-01-12,49.5,44.75,55.58333333333334,50.72727272727273,53.0,50.93276800186758
2018-01-13,59.0,56.25,38.0,64.36363636363636,47.5,51.321791396871966
2018-01-14,41.5,39.0,14.230769230769232,42.45454545454545,21.33333333333333,29.924196909217486
2018-01-15,21.0,19.5,11.666666666666664,24.09090909090909,15.6,17.683162522874124
2018-01-16,24.5,23.0,18.615384615384613,26.818181818181817,21.5,22.37596732447804
2018-01-17,36.5,31.0,13.444444444444445,33.90909090909091,21.83333333333333,24.9932846683986
2018-01-18,29.5,25.75,11.5,28.363636363636363,13.0,20.621501666343793
2018-01-19,27.0,22.5,19.30769230769231,28.09090909090909,18.666666666666668,22.748430259270002
2018-01-20,35.0,27.75,28.30769230769231,38.09090909090909,32.5,31.212410312849784
2018-01-21,42.0,41.0,37.07692307692308,45.27272727272727,41.16666666666666,40.74539862061694
2018-01-22,41.5,41.0,43.30769230769231,47.7,48.66666666666666,44.08695019190432
2018-01-23,54.0,46.0,52.153846153846146,54.9,55.33333333333334,51.40951194345059
2018-01-24,55.0,50.0,41.230769230769226,57.27272727272727,46.83333333333334,48.70628469320785
2018-01-25,40.5,35.75,29.461538461538463,43.45454545454545,32.666666666666664,35.47877842747881
2018-01-26,31.5,28.5,31.23076923076923,36.09090909090909,31.66666666666667,31.804048338352626
2018-01-27,31.5,28.5,42.07692307692308,38.09090909090909,39.16666666666666,36.739112475429
