DATE,CT,ME,MA,NH,RI,VT,T_WA
2016-03-07,34.75,22.88888888888889,31.444444444444446,30.5,34.5,27.57142857142857,31.432374397510802
2016-03-08,38.75,26.555555555555557,35.333333333333336,32.0,37.5,32.857142857142854,35.104300932150316
2016-03-09,46.75,34.111111111111114,42.0,41.5,46.0,42.714285714285715,42.69612834027449
2016-03-10,53.5,43.0,54.22222222222222,56.0,52.0,55.14285714285714,53.07555273554902
2016-03-11,62.0,44.88888888888889,56.33333333333334,54.5,61.5,53.5,56.73967221365859
2016-03-12,52.0,36.66666666666666,44.88888888888889,43.0,50.0,36.57142857142857,45.694335605684124
2016-03-13,44.0,36.333333333333336,41.22222222222222,43.5,42.0,41.285714285714285,41.71346683213325
2016-03-14,52.25,37.66666666666666,52.111111111111114,49.5,53.5,42.0,50.27147858853816
2016-03-15,44.75,29.222222222222218,42.22222222222222,37.5,44.0,34.857142857142854,41.03692713027872
2016-03-16,47.25,34.77777777777778,44.22222222222222,40.0,47.0,42.57142857142857,43.83631288384649
2016-03-17,50.5,40.77777777777778,45.77777777777778,48.5,48.5,46.85714285714285,46.94811844875125
2016-03-18,49.5,38.77777777777778,50.33333333333334,49.5,51.5,47.85714285714285,48.98968959825284
2016-03-19,44.75,29.33333333333333,42.875,38.5,46.0,34.0,41.54835742641622
2016-03-20,37.0,22.444444444444446,34.125,31.5,37.5,26.57142857142857,33.440719555950196
2016-03-21,34.25,23.11111111111111,30.875,26.5,34.0,26.857142857142854,30.635944083105247
2016-03-22,40.0,26.555555555555557,35.444444444444436,34.0,38.0,34.0,35.72300327126339
2016-03-23,41.75,26.88888888888889,38.77777777777778,37.0,40.5,35.285714285714285,38.228357407389
2016-03-24,53.5,30.777777777777782,50.88888888888889,48.5,53.0,38.142857142857146,49.09102587447893
2016-03-25,46.5,23.222222222222218,40.77777777777778,36.0,43.5,34.714285714285715,40.06419662031855
2016-03-26,49.75,27.11111111111111,46.0,37.5,49.0,40.0,44.373584580873036
2016-03-27,42.75,32.666666666666664,39.0,40.0,39.5,39.142857142857146,39.46042353400909
2016-03-28,44.25,34.888888888888886,39.22222222222222,40.5,38.0,42.285714285714285,40.195931217393486
2016-03-29,47.25,34.55555555555556,42.333333333333336,36.5,44.5,40.285714285714285,42.34413075686327
2016-03-30,44.0,33.77777777777778,43.111111111111114,38.5,45.0,34.714285714285715,41.838962611169805
2016-03-31,41.0,35.333333333333336,41.555555555555564,42.0,42.5,39.0,40.8593971275164
2016-04-01,53.33333333333334,47.66666666666666,55.22222222222222,56.0,54.0,56.0,54.10113595790511
2016-04-02,58.66666666666666,52.555555555555564,59.444444444444436,62.0,58.0,55.85714285714285,58.614071683319686
2016-04-03,47.66666666666666,40.111111111111114,47.66666666666666,42.0,50.0,40.42857142857143,46.32575306322591
2016-04-04,36.0,24.777777777777782,33.75,27.0,36.0,26.142857142857146,32.70049731401857
2016-04-05,30.5,17.777777777777782,26.444444444444446,20.0,28.5,19.428571428571427,25.895207837516875
2016-04-06,30.5,19.555555555555557,27.33333333333333,21.5,30.5,19.857142857142858,26.767019018964767
2016-04-07,33.0,24.88888888888889,31.0,26.5,33.5,26.42857142857143,30.501054792980938
2016-04-08,49.75,39.888888888888886,49.555555555555564,44.5,49.5,45.85714285714285,48.10446600386473
2016-04-09,42.5,43.22222222222222,43.111111111111114,40.5,44.0,35.142857142857146,42.46374203532573
2016-04-10,36.75,31.33333333333333,36.555555555555564,36.5,37.5,30.57142857142857,35.94016006485504
2016-04-11,39.25,29.444444444444446,38.0,36.0,40.0,31.0,37.19080877632891
2016-04-12,51.0,32.666666666666664,48.77777777777778,45.0,50.0,39.857142857142854,47.21886365280402
2016-04-13,45.5,41.22222222222222,46.88888888888889,43.0,48.5,41.857142857142854,45.5894831719742
2016-04-14,42.75,37.66666666666666,41.111111111111114,40.5,44.5,38.285714285714285,41.25992498795246
2016-04-15,46.75,38.77777777777778,41.77777777777778,43.5,44.5,39.57142857142857,42.95955559647985
2016-04-16,47.75,40.22222222222222,45.0,44.0,47.0,42.42857142857143,45.17087572379589
2016-04-17,50.0,43.0,45.555555555555564,46.5,48.0,46.14285714285714,46.67718783807436
