DATE,KS,NE,ND,OK,SD,T_WA
2017-06-12,81.66875,78.01250000000002,67.715,81.37625,71.549375,79.00730035614082
2017-06-13,82.02875,78.8257142857143,66.4175,82.11875,74.03482142857143,79.65505283581041
2017-06-14,80.555,73.28750000000002,67.34,83.44624999999998,71.9375,78.61153895264793
2017-06-15,78.98000000000002,73.61535714285714,68.225,84.4475,72.15125,78.69489397762352
2017-06-16,79.98125,76.03357142857143,67.34,81.24125000000002,71.639375,78.0998042355202
2017-06-17,81.07249999999998,68.98357142857144,62.2325,83.73875,65.03,77.11284092432373
2017-06-18,73.79375,67.63678571428572,63.9575,75.84875,64.191875,71.9022621067709
2017-06-19,73.85,72.01142857142858,65.5175,75.70625000000003,66.723125,73.00167884586
2017-06-20,79.120625,75.16464285714284,64.595,78.62,68.18,76.21368902726941
2017-06-21,82.776875,81.77000000000002,71.3,80.50999999999998,70.885625,79.88889665174732
2017-06-22,81.095,78.34357142857144,65.5025,78.755,69.92589285714286,77.6174800710322
2017-06-23,74.60535714285714,67.7942857142857,60.31249999999999,81.06125,61.22937500000001,73.61459775549612
2017-06-24,70.165625,63.6125,56.06,76.4375,58.825625,69.33892501537352
2017-06-25,67.758125,64.12357142857144,58.4825,76.37,58.245125,68.86437413718613
2017-06-26,68.73687500000001,66.80428571428571,61.475,76.39250000000001,60.31399999999999,70.03519681329722
2017-06-27,74.05250000000002,69.28571428571429,71.2175,78.92375,65.63107142857143,74.09497733514131
2017-06-28,82.754375,76.09464285714284,68.69,81.45500000000001,74.16821428571427,79.27752694664431
2017-06-29,77.84937500000002,73.48357142857144,66.875,82.63625,64.14125,76.89315126654155
2017-06-30,76.4075,73.51057142857142,70.094,80.405,70.19,76.39817150138728
2017-07-01,73.1525,71.25928571428571,67.33250000000001,78.935,67.4105,74.08098901875861
2017-07-02,77.294375,75.48285714285714,68.2925,76.82000000000002,70.94991071428572,75.58609159931272
2017-07-03,76.83125000000003,76.80392857142857,75.7925,76.46642857142857,71.52526785714286,76.16320495250179
2017-07-04,75.498125,76.505,79.69250000000002,73.98500000000001,78.863,75.70225585392082
2017-07-05,76.83125000000003,78.6392857142857,80.9975,78.51875000000003,78.78392857142858,78.27385506686669
2017-07-06,80.80250000000002,82.76214285714286,78.4925,81.8825,80.51562500000001,81.38138126232249
