DATE,AL,GA,T_WA
2019-06-18,77.855,78.80000000000003,78.50146080456386
2019-06-19,79.76750000000001,78.80000000000003,79.105647271518
2019-06-20,82.4,81.10625,81.51496437470426
2019-06-21,85.235,82.18625,83.1493943090857
2019-06-22,83.12,79.68125,80.76760096117047
2019-06-23,82.60249999999998,78.31625,79.67033849358543
2019-06-24,84.245,79.62125,81.08195963481263
2019-06-25,82.49000000000002,80.4875,81.1201187712814
2019-06-26,79.6325,79.11500000000002,79.27848574988172
2019-06-27,79.25,79.30625,79.28847980979548
2019-06-28,80.42,80.18375,80.25838479885904
2019-06-29,79.745,79.11500000000002,79.31402613029078
2019-06-30,79.6325,81.2075,80.70993467427306
2019-07-01,83.5025,84.56,84.22592042415478
2019-07-02,85.505,86.11250000000003,85.92058194579106
2019-07-03,81.0275,84.95375000000001,83.71339072372359
2019-07-04,83.5025,83.435,83.45632422824544
2019-07-05,86.2475,81.17375000000001,82.7766211564489
2019-07-06,85.73,81.50000000000001,82.8363183033809
2019-07-07,82.625,81.7475,82.02471496719073
2019-07-08,81.7475,83.345,82.84032659819124
2019-07-09,83.525,84.51499999999999,84.2022446524002
2019-07-10,84.35750000000002,82.81625,83.30315321160421
2019-07-11,83.12,83.0075,83.04304038040907
2019-07-12,80.645,82.32125,81.79169833190491
2019-07-13,76.1,81.005,79.4554394141647
2019-07-14,77.11250000000003,82.99625,81.13748810460584
2019-07-15,80.375,83.9525,82.82231590299169
2019-07-16,83.12,84.81875,84.28209025582309
2019-07-17,83.255,84.45875000000002,84.078467929623
2019-07-18,84.515,82.11875,82.87576010271312
2019-07-19,79.1375,79.41875,79.32989904897732
2019-07-20,77.7425,80.555,79.66649048977334
2019-07-21,78.89,82.445,81.32192397907349
2019-07-22,81.7475,83.40125,82.87880640798673
2019-07-23,79.0025,79.6325,79.43347386970922
2019-07-24,79.6325,77.0,77.83164490157216
2019-07-25,78.5075,76.87625,77.39158551593147
2019-07-26,79.6325,78.0575,78.55506532572693
2019-07-27,79.38499999999998,78.44,78.73853919543615
2019-07-28,79.6325,78.305,78.72437648882699
2019-07-29,80.7575,79.47500000000002,79.88016033666338
2019-07-30,78.98,78.72125,78.80299287494086
2019-07-31,81.59,80.36375,80.75114014645882
2019-08-01,81.3875,80.48750000000003,80.77182304327253
2019-08-02,81.2525,77.945,78.98988718402654
2019-08-03,77.8325,79.37375,78.8868467883958
2019-08-04,76.86500000000002,78.36125000000001,77.88856294055944
2019-08-05,80.15,78.6875,79.14952494531786
2019-08-06,83.3675,79.63250000000002,80.81244062958103
2019-08-07,84.2225,82.99625,83.38364014645883
2019-08-08,83.9975,83.89625000000002,83.92823634236818
2019-08-09,83.48,84.30125000000002,84.04180522301382
2019-08-10,83.255,83.89625000000002,83.69366983166833
2019-08-11,83.9075,83.9975,83.96906769567275
2019-08-12,87.3725,84.1325,85.15606295578111
2019-08-13,87.75500000000002,86.135,86.64678147789057
2019-08-14,86.6525,82.56875,83.85886580884912
2019-08-15,87.14750000000002,82.3325,83.85362828150804
2019-08-16,84.4925,82.14125000000001,82.8840439505495
2019-08-17,82.85000000000002,81.88250000000002,82.18814727151799
2019-08-18,84.605,81.4775,82.46552257537205
2019-08-19,82.895,80.61125,81.33271972230405
2019-08-20,79.83500000000002,80.31875000000002,80.16592636424103
2019-08-21,82.60249999999998,82.8725,82.78720308701824
2019-08-22,81.8825,82.6925,82.43660926105473
2019-08-23,81.7475,82.2425,82.08612232620013
2019-08-24,81.995,79.17125,80.06331354826757
